Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Quadratic Discriminant Analysis,0.3404,0.7891,0.2291,0.9807,0.3648,0.0784,0.1862,0.662,11
Random Forest Classifier,0.9302,0.9558,0.9746,0.9454,0.9597,0.6975,0.7032,0.348,12
Extra Trees Classifier,0.9302,0.9336,0.9689,0.9503,0.9595,0.7071,0.7099,0.379,12
Gradient Boosting Classifier,0.9281,0.9614,0.973,0.9446,0.9585,0.6879,0.6935,2.305,12
Logistic Regression,0.926,0.9511,0.9656,0.9487,0.957,0.6909,0.6943,0.201,12
K Neighbors Classifier,0.9225,0.9405,0.9615,0.9485,0.9549,0.6796,0.6817,0.156,12
Ada Boost Classifier,0.9218,0.9429,0.9665,0.9435,0.9547,0.6676,0.6731,0.593,12
SVM - Linear Kernel,0.9183,0.9313,0.9607,0.9446,0.9523,0.6642,0.6696,0.169,12
Decision Tree Classifier,0.8904,0.789,0.9329,0.9386,0.9356,0.5673,0.5696,0.182,12
Ridge Classifier,0.8841,0.865,0.9206,0.9425,0.9313,0.561,0.5638,0.177,12
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.154,12
Naive Bayes,0.8256,0.7848,0.8576,0.9325,0.8933,0.4183,0.43,0.143,12
Linear Discriminant Analysis,0.8179,0.7806,0.8396,0.9407,0.887,0.4226,0.4426,0.591,12
Quadratic Discriminant Analysis,0.3677,0.8031,0.2651,0.9748,0.4138,0.0841,0.1901,0.641,12
Logistic Regression,0.9323,0.9494,0.9681,0.9535,0.9607,0.7179,0.7202,0.208,13
Extra Trees Classifier,0.9309,0.9448,0.9738,0.9469,0.9601,0.7028,0.7086,0.374,13
Random Forest Classifier,0.9302,0.9593,0.9771,0.9434,0.9599,0.6927,0.7009,0.356,13
Gradient Boosting Classifier,0.9281,0.9595,0.9713,0.946,0.9584,0.6923,0.6969,2.277,13
K Neighbors Classifier,0.9267,0.9361,0.9656,0.9496,0.9575,0.6932,0.6962,0.158,13
SVM - Linear Kernel,0.9253,0.9443,0.9558,0.9571,0.9562,0.7017,0.7067,0.17,13
Ada Boost Classifier,0.9197,0.9333,0.9665,0.9412,0.9536,0.6561,0.6607,0.562,13
Decision Tree Classifier,0.9058,0.8174,0.9427,0.9466,0.9445,0.6301,0.6316,0.198,13
Ridge Classifier,0.9044,0.8769,0.9378,0.9501,0.9436,0.6271,0.6313,0.173,13
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.162,13
Linear Discriminant Analysis,0.8291,0.7831,0.8601,0.9346,0.8955,0.4276,0.4402,0.534,13
Naive Bayes,0.8129,0.7866,0.8428,0.9318,0.8843,0.3939,0.4098,0.15,13
Quadratic Discriminant Analysis,0.3594,0.8189,0.2546,0.9788,0.3971,0.0823,0.1885,0.675,13
Extra Trees Classifier,0.9281,0.9433,0.9722,0.9453,0.9584,0.6925,0.6992,0.393,14
Random Forest Classifier,0.9267,0.9525,0.9738,0.9424,0.9577,0.6823,0.6906,0.286,14
K Neighbors Classifier,0.9246,0.9296,0.9664,0.9466,0.9563,0.6824,0.6871,0.184,14
Logistic Regression,0.9239,0.9517,0.9664,0.9457,0.9559,0.6798,0.684,0.241,14
Gradient Boosting Classifier,0.9211,0.9561,0.9681,0.9414,0.9544,0.6619,0.669,2.312,14
SVM - Linear Kernel,0.9191,0.9448,0.9501,0.9549,0.9522,0.6849,0.6887,0.166,14
Ada Boost Classifier,0.9156,0.9472,0.9648,0.9382,0.9512,0.6388,0.6455,0.596,14
Decision Tree Classifier,0.903,0.8107,0.9419,0.9444,0.943,0.6179,0.6203,0.19,14
Ridge Classifier,0.8911,0.8508,0.932,0.9397,0.9358,0.5771,0.5784,0.165,14
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.164,14
Naive Bayes,0.8241,0.8072,0.8478,0.9406,0.8915,0.4314,0.4497,0.15,14
Linear Discriminant Analysis,0.7697,0.7165,0.7995,0.9203,0.8553,0.3016,0.3213,0.517,14
Quadratic Discriminant Analysis,0.3441,0.8059,0.2333,0.9883,0.3734,0.079,0.1924,0.646,14
Gradient Boosting Classifier,0.9331,0.9626,0.9722,0.9506,0.9612,0.717,0.7211,2.359,15
Ada Boost Classifier,0.9316,0.9456,0.9747,0.9471,0.9606,0.7029,0.7087,0.607,15
K Neighbors Classifier,0.9303,0.9274,0.9722,0.9475,0.9597,0.7024,0.7067,0.182,15
Extra Trees Classifier,0.9289,0.9208,0.9665,0.951,0.9586,0.7041,0.7064,0.419,15
Random Forest Classifier,0.9268,0.9489,0.973,0.943,0.9577,0.6846,0.6918,0.281,15
Logistic Regression,0.9261,0.9541,0.9641,0.9502,0.9569,0.6953,0.6994,0.248,15
SVM - Linear Kernel,0.9261,0.9461,0.9682,0.9468,0.9571,0.6885,0.6974,0.178,15
Ridge Classifier,0.8995,0.8757,0.9305,0.9508,0.9404,0.6193,0.6219,0.166,15
Decision Tree Classifier,0.8968,0.8054,0.9354,0.9432,0.9392,0.5966,0.5979,0.192,15
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.162,15
Linear Discriminant Analysis,0.8137,0.7809,0.8347,0.9404,0.8842,0.4147,0.4356,0.594,15
Naive Bayes,0.8088,0.7899,0.8364,0.9329,0.8816,0.3893,0.4069,0.146,15
Quadratic Discriminant Analysis,0.5037,0.8303,0.4247,0.9834,0.5891,0.1683,0.2852,0.601,15
K Neighbors Classifier,0.9225,0.9192,0.9681,0.9431,0.9552,0.6668,0.6749,0.2,16
Logistic Regression,0.9177,0.9366,0.9566,0.9476,0.9519,0.6629,0.6664,0.199,16
Ada Boost Classifier,0.9156,0.9391,0.9632,0.9396,0.9511,0.6405,0.6461,0.577,16
Gradient Boosting Classifier,0.9156,0.9519,0.9575,0.9447,0.9508,0.6507,0.6556,2.328,16
Extra Trees Classifier,0.9155,0.9271,0.9591,0.9431,0.9509,0.6477,0.6515,0.372,16
Random Forest Classifier,0.9135,0.945,0.9615,0.9388,0.9499,0.6317,0.6374,0.286,16
SVM - Linear Kernel,0.9058,0.9273,0.9623,0.93,0.9457,0.5867,0.5974,0.172,16
Decision Tree Classifier,0.8897,0.7932,0.9304,0.94,0.9349,0.571,0.5741,0.213,16
Ridge Classifier,0.8779,0.849,0.9149,0.9404,0.9272,0.5452,0.5489,0.162,16
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.164,16
Naive Bayes,0.8165,0.806,0.8413,0.9373,0.8865,0.4133,0.431,0.177,16
Linear Discriminant Analysis,0.7969,0.7546,0.8281,0.9261,0.874,0.3556,0.3718,0.548,16
Quadratic Discriminant Analysis,0.3224,0.7775,0.2078,0.9785,0.3382,0.0684,0.1733,0.581,16
Gradient Boosting Classifier,0.9302,0.9436,0.973,0.9469,0.9597,0.7003,0.706,2.326,17
Extra Trees Classifier,0.9281,0.9159,0.9698,0.9476,0.9584,0.6936,0.7003,0.402,17
Random Forest Classifier,0.9274,0.9394,0.9714,0.9453,0.9581,0.6881,0.6941,0.287,17
Ada Boost Classifier,0.9246,0.9225,0.9771,0.9375,0.9568,0.6621,0.673,0.591,17
Logistic Regression,0.9225,0.9272,0.9673,0.9436,0.9552,0.6685,0.6741,0.241,17
