Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Random Forest Classifier,0.9225,0.9368,0.9763,0.9363,0.9556,0.6458,0.6624,0.193,14
Gradient Boosting Classifier,0.9204,0.9341,0.9771,0.9334,0.9546,0.6312,0.6459,0.602,14
Ridge Classifier,0.919,0.9174,0.9566,0.9495,0.9528,0.6649,0.6694,0.102,14
Ada Boost Classifier,0.9176,0.9043,0.9656,0.9398,0.9525,0.6437,0.6486,0.246,14
SVM - Linear Kernel,0.9134,0.9332,0.9632,0.9381,0.95,0.6179,0.635,0.091,14
Decision Tree Classifier,0.9037,0.8027,0.946,0.9417,0.9437,0.6087,0.611,0.107,14
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.094,14
Naive Bayes,0.7781,0.7093,0.8069,0.925,0.8607,0.3154,0.3391,0.09,14
Linear Discriminant Analysis,0.7076,0.6147,0.7209,0.919,0.8074,0.2316,0.2651,0.435,14
Quadratic Discriminant Analysis,0.5736,0.7824,0.5254,0.9551,0.677,0.1818,0.2693,0.342,14
Random Forest Classifier,0.9323,0.9507,0.982,0.9416,0.9612,0.6939,0.7069,0.191,15
Extra Trees Classifier,0.9295,0.9454,0.9754,0.9442,0.9594,0.692,0.7016,0.275,15
K Neighbors Classifier,0.9281,0.9259,0.9599,0.9563,0.9579,0.7102,0.7133,0.083,15
Logistic Regression,0.9274,0.9496,0.9722,0.9447,0.9581,0.6863,0.6936,0.089,15
Ridge Classifier,0.9233,0.9337,0.9624,0.9489,0.9554,0.6788,0.682,0.103,15
Gradient Boosting Classifier,0.9233,0.937,0.982,0.9321,0.9563,0.6422,0.6604,0.579,15
SVM - Linear Kernel,0.9184,0.9306,0.9574,0.9483,0.9525,0.6602,0.6682,0.086,15
Ada Boost Classifier,0.9142,0.9187,0.964,0.9376,0.9505,0.6285,0.6347,0.218,15
