Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Ada Boost Classifier,0.9107,0.9249,0.9673,0.9308,0.9485,0.6081,0.6205,0.607,14
Logistic Regression,0.9093,0.9379,0.9575,0.938,0.9473,0.6166,0.6271,0.236,14
SVM - Linear Kernel,0.9044,0.9274,0.9345,0.9532,0.9431,0.6385,0.6467,0.222,14
Decision Tree Classifier,0.8758,0.7593,0.9247,0.9297,0.9268,0.5118,0.517,0.224,14
Ridge Classifier,0.8612,0.8596,0.8969,0.9381,0.9167,0.4966,0.5037,0.229,14
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.171,14
Linear Discriminant Analysis,0.7669,0.7543,0.7913,0.9246,0.8523,0.3116,0.3346,0.851,14
Naive Bayes,0.478,0.6254,0.4165,0.9354,0.5753,0.1079,0.1831,0.194,14
Quadratic Discriminant Analysis,0.2519,0.696,0.1244,0.9875,0.2192,0.0374,0.1306,0.675,14
K Neighbors Classifier,0.9232,0.9038,0.9705,0.9414,0.9557,0.6676,0.6731,0.163,15
Extra Trees Classifier,0.9218,0.9264,0.9722,0.9388,0.955,0.6544,0.6635,0.361,15
Gradient Boosting Classifier,0.9169,0.9313,0.9746,0.9316,0.9525,0.6203,0.6323,1.612,15
Random Forest Classifier,0.9162,0.9376,0.9722,0.9328,0.952,0.6245,0.6363,0.369,15
Logistic Regression,0.9128,0.9268,0.9583,0.9408,0.9493,0.6345,0.6382,0.195,15
SVM - Linear Kernel,0.9079,0.9209,0.9591,0.9352,0.9467,0.6044,0.6123,0.214,15
Ada Boost Classifier,0.9002,0.9091,0.9615,0.9247,0.9426,0.5578,0.567,0.592,15
Decision Tree Classifier,0.8848,0.7819,0.928,0.9368,0.9322,0.547,0.5496,0.221,15
Ridge Classifier,0.8632,0.8447,0.8952,0.9421,0.9177,0.5102,0.519,0.242,15
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,15
Linear Discriminant Analysis,0.7571,0.7405,0.7823,0.9213,0.8455,0.2908,0.3141,0.884,15
Naive Bayes,0.3999,0.6027,0.3175,0.9393,0.4727,0.075,0.153,0.182,15
Quadratic Discriminant Analysis,0.2477,0.6547,0.122,0.9588,0.2113,0.0327,0.1071,0.695,15
Random Forest Classifier,0.9274,0.9518,0.9787,0.9389,0.9583,0.6776,0.689,0.361,16
Extra Trees Classifier,0.9274,0.9409,0.9722,0.9444,0.958,0.6887,0.6944,0.393,16
Gradient Boosting Classifier,0.919,0.9443,0.9754,0.9329,0.9536,0.6363,0.6492,1.71,16
K Neighbors Classifier,0.9184,0.9309,0.9607,0.9446,0.9525,0.6612,0.6649,0.203,16
Logistic Regression,0.9163,0.9292,0.9632,0.9401,0.9514,0.6467,0.6516,0.241,16
Ada Boost Classifier,0.9037,0.9195,0.9607,0.9289,0.9444,0.5825,0.5928,0.515,16
SVM - Linear Kernel,0.903,0.9232,0.9419,0.9448,0.9426,0.6233,0.6343,0.227,16
Decision Tree Classifier,0.8849,0.7912,0.9239,0.9405,0.9317,0.5591,0.5636,0.24,16
Ridge Classifier,0.8646,0.8392,0.8993,0.9393,0.9188,0.5121,0.5172,0.229,16
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.162,16
Linear Discriminant Analysis,0.7648,0.7465,0.7905,0.9227,0.8512,0.3043,0.3263,0.944,16
Naive Bayes,0.4278,0.6085,0.3527,0.9385,0.5109,0.0864,0.1641,0.191,16
Quadratic Discriminant Analysis,0.2554,0.6889,0.1317,0.955,0.2268,0.0346,0.108,0.667,16
Extra Trees Classifier,0.9316,0.9434,0.9763,0.9455,0.9605,0.7033,0.7104,0.376,17
Random Forest Classifier,0.9295,0.9555,0.9803,0.9397,0.9595,0.6869,0.699,0.294,17
Gradient Boosting Classifier,0.9204,0.9511,0.9754,0.9343,0.9543,0.6454,0.6571,1.676,17
Logistic Regression,0.919,0.9344,0.9648,0.9418,0.9531,0.6562,0.6599,0.197,17
K Neighbors Classifier,0.9162,0.9188,0.964,0.9395,0.9515,0.6435,0.6481,0.167,17
SVM - Linear Kernel,0.9058,0.9287,0.9427,0.947,0.9445,0.63,0.6354,0.213,17
Ada Boost Classifier,0.9036,0.9198,0.9648,0.9255,0.9446,0.5731,0.5835,0.518,17
Decision Tree Classifier,0.8946,0.7938,0.937,0.9394,0.938,0.5847,0.5866,0.196,17
Ridge Classifier,0.8695,0.8784,0.9026,0.9421,0.9217,0.5286,0.5347,0.235,17
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.18,17
Linear Discriminant Analysis,0.7648,0.7468,0.7855,0.927,0.8495,0.3215,0.3453,1.011,17
Naive Bayes,0.411,0.6151,0.329,0.9442,0.4872,0.0842,0.1673,0.158,17
Quadratic Discriminant Analysis,0.2429,0.6714,0.1162,0.9572,0.2054,0.0302,0.1038,0.634,17
Extra Trees Classifier,0.9191,0.9217,0.9689,0.9385,0.9534,0.6476,0.6549,0.377,18
Random Forest Classifier,0.917,0.9414,0.9738,0.932,0.9524,0.6279,0.6389,0.322,18
Gradient Boosting Classifier,0.9156,0.942,0.9722,0.9319,0.9516,0.6228,0.6325,1.617,18
K Neighbors Classifier,0.9149,0.917,0.9632,0.9388,0.9507,0.6368,0.6418,0.163,18
Logistic Regression,0.9086,0.9261,0.9566,0.938,0.947,0.6131,0.6202,0.206,18
Ada Boost Classifier,0.9044,0.9229,0.9607,0.9299,0.9449,0.5811,0.589,0.503,18
SVM - Linear Kernel,0.8961,0.919,0.9411,0.9379,0.9391,0.5797,0.5858,0.182,18
Decision Tree Classifier,0.8772,0.7664,0.9239,0.9321,0.9278,0.5147,0.5171,0.184,18
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.161,18
Ridge Classifier,0.8486,0.8399,0.8879,0.9319,0.9089,0.4576,0.466,0.244,18
Linear Discriminant Analysis,0.7733,0.7457,0.8003,0.9241,0.8574,0.3138,0.3357,0.936,18
Naive Bayes,0.4459,0.6182,0.3739,0.9414,0.5314,0.0982,0.1783,0.16,18
Quadratic Discriminant Analysis,0.2114,0.6449,0.081,0.9355,0.1473,0.0152,0.0642,0.601,18
Random Forest Classifier,0.9358,0.9569,0.9828,0.9448,0.9632,0.7118,0.726,0.346,19
Extra Trees Classifier,0.9316,0.9447,0.9747,0.9474,0.9604,0.7053,0.7173,0.385,19
Gradient Boosting Classifier,0.9212,0.9522,0.973,0.9373,0.9546,0.653,0.6649,1.547,19
K Neighbors Classifier,0.9211,0.9313,0.9648,0.9446,0.9543,0.6636,0.6712,0.194,19
Logistic Regression,0.9205,0.9397,0.9608,0.9472,0.9536,0.6709,0.6766,0.236,19
SVM - Linear Kernel,0.9198,0.9341,0.9583,0.9487,0.9532,0.6704,0.6752,0.209,19
Ada Boost Classifier,0.9128,0.9178,0.9665,0.9343,0.9498,0.6147,0.6265,0.561,19
Decision Tree Classifier,0.8877,0.7872,0.9297,0.9388,0.9337,0.5595,0.5648,0.243,19
Ridge Classifier,0.8653,0.8617,0.8953,0.9446,0.919,0.5197,0.5289,0.24,19
