molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL38851,655.0,nM,N#Cc1ccc(-c2ccc(OCCC(=O)NO)cc2)cc1,6.183758700008217
CHEMBL346920,730.0,nM,O=C(NO)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccccc1,6.136677139879544
CHEMBL160305,24.0,nM,COc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)O)s2)cc1,7.619788758288394
CHEMBL347138,17.0,nM,COc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@H](Cc4c[nH]c5ccccc45)C(=O)O)cc3)n2)cc1,7.769551078621726
CHEMBL160245,270.0,nM,CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1)C(=O)O,6.568636235841012
CHEMBL345200,61.0,nM,Cc1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,7.214670164989233
CHEMBL348335,40.0,nM,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,7.3979400086720375
CHEMBL157243,3400.0,nM,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccccc1,5.468521082957745
CHEMBL317132,0.6,nM,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,9.221848749616356
CHEMBL159229,350.0,nM,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(/N=N/c2ccccc2)cc1,6.455931955649724
CHEMBL102459,33.0,nM,O=C(NO)C(CCn1ncc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,7.481486060122112
CHEMBL157363,240.0,nM,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C#Cc2ccccc2)cc1,6.619788758288394
CHEMBL432882,0.54,nM,CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,9.267606240177031
CHEMBL347612,1200.0,nM,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,5.920818753952375
CHEMBL155959,2100.0,nM,CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1)C(=O)O,5.6777807052660805
CHEMBL19611,0.2,nM,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,9.698970004336019
CHEMBL59338,1.5,nM,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)C(C)(C)C,8.823908740944319
